,Python/is_empty1,Python/is_empty2,C++/is_empty_spot29,C++/is_empty_atva19,C++/is_empty_spot28,C++/old_is_empty,/result,aut/states,aut/edges,aut/sccs,aut/ntsccs,aut/nrsccs,aut/nrstates,aut/sets,aut/acc,/bench
90,0.716409433982335,0.2862578619970009,0.0737044311943464,0.0728740840102546,0.07267619039630517,0.3569204550003633,TTTTTT,21,336,1,1,1,21,11,(Inf(0) | (Fin(1) & Inf(2))) & (Fin(3)|Fin(4)|Fin(5)|Fin(6)) & (Inf(7) | (Inf(8)&Inf(9)&Inf(10))),ltlcross
91,0.9448238499462605,0.2817463430110365,0.08170955639798194,0.08145774860167876,0.08151222259039059,1.0923034348525107,TTTTTT,191,2300,1,1,1,191,6,(Inf(0) | (Fin(1) & Inf(2))) & Fin(3) & (Inf(4) | Fin(5)),ltlcross
92,0.9476994659053162,0.28045160602778196,0.08312882860191166,0.08274696419248358,0.08298933600308374,1.4978379898821004,TTTTTT,191,2300,1,1,1,191,6,(Inf(0) | (Fin(1) & Inf(2))) & Fin(3) & (Inf(4) | Fin(5)),ltlcross
93,0.19715138099854812,0.16463204848696478,0.02002423200174235,0.019413179252296686,0.01942548965162132,0.007539460519328713,TTTTTT,1,32,1,1,1,1,10,((Fin(0) & (Fin(1)|Fin(2)|Fin(3)|Fin(4))) | (Inf(0)&Inf(1)&Inf(2)&Inf(3)&Inf(4))) & (Inf(5) | (Inf(6)&Inf(7)&Inf(8)&Inf(9))) & (Fin(5)|Fin(6)|Fin(7)|Fin(8)|Fin(9)),ltlcross
94,1.185176724975463,0.33424084598664194,0.19225717199151404,0.19172826799331233,0.19159349301480688,3.573364950134419,TTTTTT,219,7008,1,1,1,219,7,((Fin(0) & (Fin(1)|Fin(2)|Fin(3)|Fin(4))) | (Inf(0)&Inf(1)&Inf(2)&Inf(3)&Inf(4))) & Fin(5) & Inf(6),ltlcross
95,0.19705875200452283,0.16545427648816258,0.020934588002273814,0.020098212896846233,0.020235220703762026,0.007944737640209497,TTTTTT,1,32,1,1,1,1,15,((Fin(0) & (Fin(1)|Fin(2)|Fin(3)|Fin(4))) | (Inf(0)&Inf(1)&Inf(2)&Inf(3)&Inf(4))) & (Fin(5)|Fin(6)|Fin(7)|Fin(8)|Fin(9)) & (Inf(10) | (Inf(11)&Inf(12)&Inf(13)&Inf(14))),ltlcross
96,1.557258959801402,0.41667584201786667,0.17623583899694495,0.17624004400568083,0.1760243195167277,3.819859130308032,TTTTTT,201,6432,1,1,1,201,8,((Fin(0) & (Fin(1)|Fin(2)|Fin(3)|Fin(4))) | (Inf(0)&Inf(1)&Inf(2)&Inf(3)&Inf(4))) & Fin(5) & (Inf(6) | Fin(7)),ltlcross
97,1.7585686649545096,0.5743254659464583,0.3258437780314125,0.3258360360050574,0.3264907089760527,2.769431960186921,TTTTTT,75,2400,1,1,1,75,7,(Inf(0) | Fin(1)) & (Inf(2) | (Inf(3)&Inf(4)&Inf(5)&Inf(6))) & (Fin(2)|Fin(3)|Fin(4)|Fin(5)|Fin(6)),ltlcross
98,2.129679399658926,0.7661504260031506,0.38477572199190035,0.3830797499977052,0.38194240297889337,4.449576319893822,TTTTTT,646,19097,2,1,1,645,4,(Inf(0) | Fin(1)) & Fin(2) & Inf(3),ltlcross
99,2.141478849807754,0.7741021059919149,0.38906745199346915,0.3855285249883309,0.38763595098862424,5.254747220315039,TTTTTT,646,19097,2,1,1,645,4,(Inf(0) | Fin(1)) & Fin(2) & Inf(3),ltlcross
100,1.83337519003544,0.5746963559649885,0.3352381259901449,0.33517860202118754,0.33571992901852354,2.7225696604000404,TTTTTT,75,2400,1,1,1,75,12,(Inf(0) | Fin(1)) & (Fin(2)|Fin(3)|Fin(4)|Fin(5)|Fin(6)) & (Inf(7) | (Inf(8)&Inf(9)&Inf(10)&Inf(11))),ltlcross
101,4.171044079121202,1.061618904932402,0.5018935439875349,0.5016826700884849,0.5020684379851446,8.477498620050028,TTTTTT,1220,26769,1,1,1,1220,5,(Inf(0) | Fin(1)) & Fin(2) & (Inf(3) | Fin(4)),ltlcross
